Frame,time,RawF_1, F0_1, R_1
1,0.00000,24.02944,23.88240,0.00498
2,0.03333,24.06147,23.88240,0.00558
3,0.06667,24.16364,23.88240,0.00688
4,0.10000,24.00087,23.88240,0.00674
5,0.13333,24.10043,23.88240,0.00739
6,0.16667,23.98182,23.88240,0.00702
7,0.20000,23.93160,23.88240,0.00632
8,0.23333,23.90736,23.88240,0.00555
9,0.26667,24.13420,23.88240,0.00663
10,0.30000,23.86320,23.88240,0.00546
11,0.33333,24.01385,23.88240,0.00563
12,0.36667,23.98874,23.88240,0.00559
13,0.40000,23.77835,23.88240,0.00394
14,0.43333,23.73853,23.88240,0.00224
15,0.46667,23.74892,23.88240,0.00088
16,0.50000,23.98268,23.88240,0.00151
17,0.53333,23.90303,23.88240,0.00144
18,0.56667,23.83290,23.88240,0.00084
19,0.60000,24.02771,23.88240,0.00182
20,0.63333,23.86061,23.88240,0.00138
21,0.66667,23.92727,23.88240,0.00151
22,0.70000,23.91429,23.88240,0.00153
23,0.73333,24.01991,23.88240,0.00235
24,0.76667,23.94545,23.88240,0.00247
25,0.80000,23.60087,23.88240,-0.00008
26,0.83333,23.73160,23.88240,-0.00123
27,0.86667,23.86061,23.88240,-0.00122
28,0.90000,23.85888,23.88240,-0.00122
29,0.93333,23.68571,23.88070,-0.00253
30,0.96667,23.90130,23.87939,-0.00198
31,1.00000,23.79654,23.87457,-0.00227
32,1.03333,23.87792,23.86343,-0.00182
33,1.06667,23.71688,23.85707,-0.00262
34,1.10000,23.67273,23.84224,-0.00353
35,1.13333,23.78268,23.83328,-0.00338
36,1.16667,23.59913,23.82549,-0.00461
37,1.20000,23.66753,23.82240,-0.00509
38,1.23333,23.57836,23.81498,-0.00612
39,1.26667,23.72294,23.80369,-0.00580
40,1.30000,23.80866,23.79959,-0.00486
41,1.33333,23.71082,23.79428,-0.00475
42,1.36667,23.54978,23.77350,-0.00574
43,1.40000,23.47186,23.75660,-0.00706
44,1.43333,23.74459,23.74865,-0.00600
45,1.46667,23.49004,23.73021,-0.00692
46,1.50000,23.40693,23.70356,-0.00814
47,1.53333,23.38788,23.67932,-0.00914
48,1.56667,23.57316,23.67811,-0.00855
49,1.60000,23.58442,23.67171,-0.00791
50,1.63333,23.51169,23.65654,-0.00782
51,1.66667,23.55671,23.64340,-0.00728
52,1.70000,23.52035,23.63621,-0.00706
53,1.73333,23.52294,23.61976,-0.00673
54,1.76667,23.66667,23.61412,-0.00530
55,1.80000,23.56710,23.60060,-0.00474
56,1.83333,23.72208,23.60060,-0.00306
57,1.86667,23.68658,23.60060,-0.00192
58,1.90000,23.64589,23.59548,-0.00124
59,1.93333,23.70303,23.59548,-0.00021
60,1.96667,23.79307,23.59548,0.00136
61,2.00000,23.69697,23.59548,0.00193
62,2.03333,23.87186,23.59548,0.00378
63,2.06667,23.96364,23.59548,0.00605
64,2.10000,23.80866,23.59548,0.00677
65,2.13333,23.85541,23.59548,0.00775
66,2.16667,23.99567,23.59548,0.00966
67,2.20000,23.98355,23.59548,0.01119
68,2.23333,24.22165,23.59548,0.01433
69,2.26667,24.11602,23.59548,0.01616
70,2.30000,24.14026,23.59548,0.01790
71,2.33333,24.16017,23.59548,0.01952
72,2.36667,24.19394,23.59548,0.02116
73,2.40000,24.08918,23.59548,0.02174
74,2.43333,24.36190,23.59548,0.02435
